Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Operative Temperature [C](Hourly),SPACE2-1:Zone Operative Temperature [C](Hourly),SPACE3-1:Zone Operative Temperature [C](Hourly),SPACE4-1:Zone Operative Temperature [C](Hourly),SPACE5-1:Zone Operative Temperature [C](Hourly)
 11/11  18:00:00,14.4,21.34953205,21.25704406,21.14580855,21.39854616,21.63360131
 11/11  19:00:00,14.0875,21.0972701,21.05264757,20.97518707,21.13074181,21.54888369
 11/11  20:00:00,13.525,20.90862439,20.88630097,20.83003954,20.93268958,21.46753655
 11/11  21:00:00,13.3,20.74553212,20.72819859,20.67841112,20.75343805,21.39234105
 11/11  22:00:00,12.4875,20.58020342,20.55675991,20.50490168,20.57339316,21.31937548
 11/11  23:00:00,12.625,20.45726112,20.43663457,20.39655766,20.44846417,21.24448863
 11/11  24:00:00,12.375,20.38759406,20.36151766,20.32888615,20.36665296,21.17469524
 11/12  01:00:00,12,20.30034948,20.27490777,20.24386353,20.27730977,21.11382482
 11/12  02:00:00,12.625,20.25126405,20.22357407,20.19730897,20.22504433,21.06001923
 11/12  03:00:00,12.375,20.194957,20.16969501,20.14394179,20.16983649,21.01616441
 11/12  04:00:00,12.8125,20.15555164,20.12586277,20.09968003,20.12538334,20.98050508
 11/12  05:00:00,13.675,20.18445634,20.14714773,20.13148693,20.14707751,20.95393786
 11/12  06:00:00,13.9,20.2031454,20.16457681,20.15126825,20.16502175,20.94058974
 11/12  07:00:00,13.9,20.2116045,20.26786353,20.16255893,20.1719837,20.93596942
 11/12  08:00:00,13.9,20.36250135,21.95088474,20.36546984,20.33312399,20.96011758
 11/12  09:00:00,14.2125,20.84611495,24.71050996,20.80440676,20.73566998,21.06545897
 11/12  10:00:00,14.775,21.51274239,26.64002977,21.32712755,21.22138663,21.2495453
 11/12  11:00:00,14.625,22.31930984,27.67788002,21.87022262,21.7485612,21.49601076
 11/12  12:00:00,15.15,23.35062597,27.63109309,22.36633156,22.26616617,21.77238617
 11/12  13:00:00,16.2875,24.4759095,26.70090528,22.82390824,22.79050206,22.07209433
 11/12  14:00:00,16.7,25.62516688,25.46955026,23.06181839,23.14357524,22.33757367
 11/12  15:00:00,16.0125,24.75649431,24.34378964,22.83211748,23.06579025,22.47964019
 11/12  16:00:00,14.85,23.48341572,23.36139031,22.41478602,22.70244506,22.4326224
 11/12  17:00:00,14.0875,22.45613689,22.46620743,21.85065138,22.10517525,22.28061477
 11/12  18:00:00,13.9,21.74549332,21.77718196,21.40100654,21.57383305,22.08168254
 11/12  19:00:00,13.9,21.33670936,21.356909,21.12607307,21.24472126,21.88669174
 11/12  20:00:00,13.9,21.05797671,21.06769128,20.91897495,21.00431748,21.70886778
 11/12  21:00:00,14.2125,20.8658103,20.87009226,20.76700151,20.83314776,21.55846471
 11/12  22:00:00,14.0875,20.73095134,20.72873567,20.65323983,20.7073057,21.44372344
 11/12  23:00:00,13.9,20.62812152,20.62029493,20.56405004,20.60850421,21.35371822
 11/12  24:00:00,13.9,20.57021068,20.55469788,20.51444465,20.54915474,21.28265765
 11/13  01:00:00,13.9,20.51753479,20.50731025,20.4749512,20.50390732,21.22684453
 11/13  02:00:00,13.525,20.45662487,20.45935914,20.42771061,20.45576639,21.18333905
 11/13  03:00:00,13.3,20.40292057,20.40930013,20.37684353,20.40651363,21.1495736
 11/13  04:00:00,12.9875,20.35697233,20.3495624,20.31609697,20.34913264,21.12200604
 11/13  05:00:00,12.425,20.30232847,20.28147746,20.24743747,20.2799372,21.09388718
 11/13  06:00:00,11.8875,20.24007603,20.20707049,20.17618696,20.20650997,21.06082056
 11/13  07:00:00,11.325,20.1608611,20.20543484,20.10202249,20.12654182,21.01989274
 11/13  08:00:00,12.1625,20.25600197,21.30479457,20.26052465,20.24123141,20.9960812
 11/13  09:00:00,13.8,20.50110592,21.74345185,20.56356564,20.52359117,21.01312389
 11/13  10:00:00,15.15,21.18882099,24.03572243,21.1538725,21.08908237,21.10585507
