Date/Time,Outside temperature,WEST ZONE:Zone Operative Temperature [C](Hourly),EAST ZONE:Zone Operative Temperature [C](Hourly),West zone heating power,East zone heating power,WEST ZONE:Zone Air System Sensible Heating Rate [W](Hourly),EAST ZONE:Zone Air System Sensible Heating Rate [W](Hourly),WEST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly)
 01/05  19:00:00,8.9,18.03077375,18.08259062,167.600644,198.5160778,345.2627794,377.4385183,177.6621354,178.9224405
 01/05  20:00:00,8.9,17.94494973,17.96423468,155.2342618,186.8155738,353.0623937,393.118316,197.8281319,206.3027422
 01/05  21:00:00,7.8,17.94661961,17.9406935,131.415536,157.4430781,345.5668722,387.3577492,214.1513362,229.914671
 01/05  22:00:00,8.3,17.94996034,17.92534566,111.9310118,132.485278,328.9554982,370.5589029,217.0244865,238.0736249
 01/05  23:00:00,7.8,17.93867306,17.90066262,111.9364332,129.6700201,326.1898535,368.1056004,214.2534203,238.4355803
 01/05  24:00:00,7.2,17.89464507,17.84644254,123.403209,140.1682727,336.8901752,380.1650543,213.4869663,239.9967816
 01/06  01:00:00,7.2,17.83164737,17.77631924,134.2560249,150.391185,352.0587037,396.9840887,217.8026788,246.5929038
 01/06  02:00:00,6.7,17.76614407,17.70631802,138.8318,153.9147278,364.9809855,411.0660214,226.1491855,257.1512936
 01/06  03:00:00,6.7,17.69994794,17.6377094,139.362625,153.2667332,374.9585128,421.7262934,235.5958878,268.4595602
 01/06  04:00:00,6.7,17.63114548,17.56808396,139.7562885,152.7627672,384.6736921,432.0010493,244.9174036,279.2382821
 01/06  05:00:00,6.1,17.53533289,17.47207499,146.0321973,159.015186,400.2610367,448.7226805,254.2288395,289.7074945
 01/06  06:00:00,6.1,17.3062875,17.24046236,180.6195806,196.8087323,446.5882136,499.4854173,265.968633,302.676685
 01/06  07:00:00,5.6,17.24492843,17.1807955,171.3839168,186.2751554,468.0685429,522.9957621,296.6846261,336.7206067
 01/06  08:00:00,5,17.14277945,17.07984142,150.8164345,163.3270144,466.0923563,520.5489015,315.2759219,357.2218871
 01/06  09:00:00,5.6,17.27792002,17.22233715,98.13258478,104.6379937,427.1221859,476.72075,328.9896011,372.0827563
 01/06  10:00:00,6.1,17.42970028,17.38548559,55.48965698,56.15480925,370.8705912,412.5198584,315.3809342,356.3650492
 01/06  11:00:00,6.7,17.62186096,17.59919072,38.076935,33.70768606,327.0388197,359.5505926,288.9618847,325.8429065
 01/06  12:00:00,6.7,17.69888208,17.70462118,55.26004433,48.32260057,314.0649754,338.3502077,258.804931,290.0276071
 01/06  13:00:00,7.2,18.40613501,18.45907022,-11.43135204,-23.70771348,204.3901274,213.2470618,215.8214795,236.9547752
 01/06  14:00:00,7.8,18.50470326,18.59264227,33.47106859,22.88569441,172.1119138,169.1917096,138.6408452,146.3060152
 01/06  15:00:00,8.3,18.51627392,18.62793759,70.39468196,61.83290997,200.5699922,194.8862358,130.1753103,133.0533258
 01/06  16:00:00,8.3,18.48566531,18.60570239,101.0684184,102.3715012,222.880503,221.1761833,121.8120846,118.8046821
 01/06  17:00:00,8.3,18.13511739,18.23473119,174.7140382,189.463313,297.8914175,308.0947858,123.1773793,118.6314728
 01/06  18:00:00,8.3,18.10229196,18.18102836,185.8717307,212.1340519,347.4917264,371.2639825,161.6199958,159.1299306
 01/06  19:00:00,8.3,17.99103858,18.03706254,157.903846,185.241618,345.6874668,377.3976379,187.7836208,192.1560199
 01/06  20:00:00,7.8,17.85735402,17.8725347,158.0355255,187.1441106,360.566547,400.1208996,202.5310215,212.9767891
 01/06  21:00:00,6.7,17.83885262,17.83352807,144.5060237,169.5341795,366.8438216,409.2209768,222.3377979,239.6867973
 01/06  22:00:00,6.7,17.7394662,17.71557882,140.481387,162.5231083,370.6412819,414.9872108,230.1598948,252.4641025
 01/06  23:00:00,10,17.86183234,17.82940608,102.0335743,117.7154405,343.5591944,385.9824768,241.5256201,268.2670363
 01/06  24:00:00,8.9,17.81839429,17.77785334,99.63713367,112.7909633,329.4967923,370.3192892,229.8596586,257.5283259
 01/07  01:00:00,9.4,17.79763434,17.75312239,119.0851227,132.4051148,345.0845005,386.9491573,225.9993778,254.5440425
 01/07  02:00:00,8.9,17.72746136,17.67948309,133.4072101,147.1098059,363.1722887,406.6435532,229.7650786,259.5337473
 01/07  03:00:00,6.1,17.56556312,17.5135306,159.1145627,174.7795585,396.7260795,443.5785103,237.6115168,268.7989518
 01/07  04:00:00,6.7,17.46295919,17.40943665,165.9557716,181.5604244,424.6269057,474.1587018,258.6711342,292.5982774
 01/07  05:00:00,7.2,17.40676692,17.35326679,146.8453384,159.978126,425.5848095,475.0489774,278.7394711,315.0708514
 01/07  06:00:00,8.3,17.37518941,17.3232721,128.9553194,139.7644683,417.8309161,466.074158,288.8755967,326.3096897
 01/07  07:00:00,7.8,17.32478327,17.27486533,128.3707581,138.6826164,421.1555041,469.0589548,292.784746,330.3763385
 01/07  08:00:00,8.9,17.3240561,17.2775649,121.634541,130.9655101,420.3860854,467.5417855,298.7515444,336.5762754
 01/07  09:00:00,8.9,17.3845331,17.34336293,99.33628001,106.0670625,400.1765219,444.4674022,300.8402419,338.4003397
 01/07  10:00:00,10,17.51828593,17.48468104,70.11387821,73.41512375,363.3283493,402.6830138,293.2144711,329.2678901
 01/07  11:00:00,7.8,17.57402463,17.546525,71.51858167,74.71957094,344.8757559,381.0318716,273.3571742,306.3123006
 01/07  12:00:00,7.8,17.50481022,17.48070489,109.904605,117.1212261,368.6740843,406.2486244,258.7694793,289.1273983
 01/07  13:00:00,8.9,17.67976374,17.66499308,86.45850808,91.07365325,351.8699195,386.7859437,265.4114114,295.7122904
 01/07  14:00:00,8.9,17.9552569,17.95327058,26.29804674,24.19171878,279.1850436,305.1714321,252.8869968,280.9797133
 01/07  15:00:00,10,17.98136893,17.98496954,42.88171029,42.65916397,257.4096789,279.7566447,214.5279686,237.0974807
 01/07  16:00:00,9.4,18.02174278,18.0266525,84.62385565,89.83576608,280.3167243,304.7564061,195.6928686,214.92064
 01/07  17:00:00,8.9,17.75391948,17.74549429,153.358221,169.0075512,343.4588272,376.8909613,190.1006061,207.8834101
 01/07  18:00:00,8.3,17.67977318,17.65579729,176.0457552,198.0707618,392.5806511,435.8790555,216.5348959,237.8082937
 01/07  19:00:00,7.8,17.61184279,17.56796084,150.7821714,172.8972575,394.305723,442.7960897,243.5235516,269.8988322
 01/07  20:00:00,7.2,17.55240817,17.49153726,134.8673412,155.2112571,391.234763,442.5852873,256.3674218,287.3740301
 01/07  21:00:00,6.7,17.48194209,17.40811153,138.0460239,157.1912937,402.8168097,456.9212313,264.7707858,299.7299376
 01/07  22:00:00,6.7,17.32657889,17.24184666,160.5382821,180.2109995,434.7290408,492.7558087,274.1907586,312.5448092
 01/07  23:00:00,6.1,17.32635341,17.23759968,142.8932321,158.8179759,438.6838413,497.1372715,295.7906091,338.3192956
 01/07  24:00:00,5.6,17.23017133,17.13776589,135.642075,149.4405746,438.3960242,496.535968,302.7539491,347.0953934
 01/08  01:00:00,5.6,17.16235491,17.06921935,142.4158403,155.7819245,454.0786576,513.2534334,311.6628173,357.4715089
 01/08  02:00:00,5,17.10654685,17.01416272,139.8067259,152.0504744,463.4421258,522.9799017,323.6354,370.9294274
 01/08  03:00:00,5,17.01329379,16.92186691,143.3202717,155.365343,475.8912446,536.0982855,332.5709729,380.7329425
 01/08  04:00:00,5,16.96856554,16.8799712,139.3189919,150.4715385,484.6480863,545.06242,345.3290944,394.5908814
 01/08  05:00:00,4.4,16.89517243,16.80939019,137.8143933,148.4941367,492.23595,552.6952225,354.4215567,404.2010857
 01/08  06:00:00,4.4,16.83792409,16.75576891,137.8220351,148.1574519,501.8942562,562.5241342,364.0722211,414.3666823
 01/08  07:00:00,3.9,16.76523967,16.68674427,139.6725961,150.04967,513.1307788,574.1667564,373.4581827,424.1170864
 01/08  08:00:00,3.9,16.6541538,16.57862774,150.4328308,161.8417888,534.125586,596.5807613,383.6927552,434.7389725
 01/08  09:00:00,4,16.84119351,16.77570846,90.91463369,95.77256233,492.6837983,549.8644334,401.7691647,454.0918711
 01/08  10:00:00,7.8,17.14541254,17.09663726,13.81514375,9.241042406,398.3429763,443.3041751,384.5278325,434.0631327
 01/08  11:00:00,9,17.46450607,17.44433194,28.49260069,24.34030921,352.7730159,388.8707423,324.2804152,364.530433
 01/08  12:00:00,10,17.98903373,18.02086719,0.581794751,-12.42373608,263.9746245,279.911898,263.3928297,292.335634
 01/08  13:00:00,13,18.3017506,18.38919776,8.38005326,-6.874566083,210.0951089,209.8285933,201.7150556,216.7031594
 01/08  14:00:00,12,18.57627837,18.71966842,28.13915895,13.83658133,179.9590397,167.5392126,151.8198807,153.7026312
 01/08  15:00:00,14,18.79779114,18.98682532,34.83028589,21.28644835,156.3384214,135.0348545,121.5081355,113.7484062
 01/08  16:00:00,13.9,18.70878966,18.9147381,68.69735238,59.80232693,169.0173475,145.5296477,100.3199951,85.72732078
 01/08  17:00:00,10.6,18.38913872,18.58078621,150.9196309,155.9944598,248.0030798,234.5327973,97.08344887,78.53833756
 01/08  18:00:00,11.7,18.30223639,18.47738321,189.4888015,215.6631864,313.5374793,318.5452725,124.0486777,102.8820861
 01/08  19:00:00,10,18.26555024,18.41005216,151.7697128,179.0268812,309.7245668,323.2262753,157.954854,144.1993941
 01/08  20:00:00,8.9,18.24586656,18.36196185,121.2752189,145.9490149,288.9917083,305.9050464,167.7164894,159.9560315
 01/08  21:00:00,8.9,18.21436472,18.30703474,120.2507006,143.0134317,289.4628034,309.1557978,169.2121027,166.1423661
 01/08  22:00:00,9.4,18.19336959,18.26743435,123.5135296,144.7182063,295.8686049,318.2898718,172.3550754,173.5716655
 01/08  23:00:00,9.4,18.15783812,18.21670014,124.8014191,144.2181151,300.100349,324.2440084,175.2989299,180.0258932
 01/08  24:00:00,8.9,18.09351835,18.140042,132.4366877,150.8473368,311.3858316,337.4835662,178.9491439,186.6362294
 01/09  01:00:00,7.8,17.98189547,18.01750664,148.9759453,167.717445,335.235548,364.4680985,186.2596027,196.7506535
 01/09  02:00:00,10,17.94082816,17.96931918,144.2713439,161.4097698,345.392087,376.1980474,201.1207432,214.7882776
 01/09  03:00:00,8.3,17.72278503,17.74121903,169.2114569,188.08951,378.6714978,413.3980107,209.4600409,225.3085007
 01/09  04:00:00,6.1,17.62747156,17.64047306,174.924332,193.7382593,409.5801479,448.0271022,234.6558159,254.2888428
 01/09  05:00:00,7.2,17.58263868,17.59215001,146.2890266,161.5346509,403.1460928,441.3323377,256.8570662,279.7976868
 01/09  06:00:00,6.7,17.4787606,17.48468409,141.6398901,155.6319768,406.0734158,444.5384721,264.4335256,288.9064953
 01/09  07:00:00,6.1,17.36052037,17.36344211,156.9291096,171.991922,432.1084393,473.1893399,275.1793297,301.1974179
 01/09  08:00:00,6.1,17.26992007,17.27104453,157.4555377,172.3341044,450.289245,493.3619485,292.8337073,321.0278441
 01/09  09:00:00,7,17.36305764,17.36764756,109.5838164,118.9975297,419.1397645,458.7945214,309.555948,339.7969916
 01/09  10:00:00,7.2,17.69664987,17.71517671,22.40771509,20.76234322,325.0519427,353.002068,302.6442276,332.2397248
 01/09  11:00:00,8,18.17984639,18.22900977,8.149020444,3.810117491,248.7284211,266.0644271,240.5794007,262.2543096
 01/09  12:00:00,8,18.31828428,18.39846771,36.37770556,27.38767577,214.855763,219.2921214,178.4780574,191.9044456
 01/09  13:00:00,9,18.58705865,18.71386011,19.10642759,1.011782787,182.1096324,171.9694008,163.0032049,170.957618
 01/09  14:00:00,9,18.73950505,18.90941502,26.11986413,7.155729892,155.3357039,134.3018594,129.2158398,127.1461295
 01/09  15:00:00,11,18.88745436,19.09209038,36.59488162,20.72975157,143.8751468,117.5849607,107.2802651,96.85520916
 01/09  16:00:00,10.7,18.68931637,18.90514987,96.58077607,92.31812445,181.942546,160.1019512,85.3617699,67.78382678
 01/09  17:00:00,10,18.49954306,18.70844398,167.133726,178.8304198,258.8931176,248.8786416,91.75939161,70.04822186
 01/09  18:00:00,10,18.30110929,18.49306858,196.4060331,218.723316,317.166463,318.6586448,120.7604299,99.9353288
 01/09  19:00:00,9.4,18.19087604,18.36241573,178.3121428,203.123365,332.7369671,341.8360868,154.4248243,138.7127218
 01/09  20:00:00,8.9,18.15498429,18.30851642,144.9063051,166.7269665,320.9920447,332.4692536,176.0857396,165.7422871
