Date/Time,Outside tempertaure,WEST ZONE:Zone Operative Temperature [C](Hourly),EAST ZONE:Zone Operative Temperature [C](Hourly),WEST ZONE:Zone Lights Total Heating Rate [W](Hourly),EAST ZONE:Zone Lights Total Heating Rate [W](Hourly),West Zone:total power (Electric Machine (such as CPU) genearated power-air system cooling),East Zone:total power (genearated power-air system cooling),WESTDATACENTER_EQUIP:ITE Total Heat Gain to Zone Rate [W](Hourly),EAST ZONE:Zone ITE Total Heat Gain to Zone Rate [W](Hourly),WEST ZONE:Zone Air System Sensible Cooling Rate [W](Hourly),EAST ZONE:Zone Air System Sensible Cooling Rate [W](Hourly),WEST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly)
 02/26  10:00:00,10.6,22.72861061,22.32456402,255.6,255.6,-2317.929427,-3153.909823,53201.19042,55546.12406,51750.31132,54098.23773,3768.808526,4601.796149
 02/26  11:00:00,11.5,23.05907358,22.539195,269.8,269.8,-1851.673859,-3571.833052,56475.66399,61262.12429,54734.09485,59953.05015,3593.242996,4880.907195
 02/26  12:00:00,12.4,23.18585477,22.56219102,284,284,-1861.899364,-3602.572483,56041.25361,58102.41579,54439.2026,57110.65366,3463.950372,4594.334604
 02/26  13:00:00,13.3,23.43313199,22.68481716,269.8,269.8,-2064.790258,-4147.758439,56769.3824,60077.12067,55360.88605,59306.21451,3473.286613,4918.664601
 02/26  14:00:00,13.9,23.38040993,22.53751457,227.2,227.2,-1730.457394,-3920.888824,56416.29033,58415.20539,54858.31079,57636.69824,3288.436936,4699.39598
 02/26  15:00:00,14.4,23.47759771,22.50814733,255.6,255.6,-1376.624431,-3751.865307,57141.47163,58399.90151,55181.40979,57446.57536,3336.686273,4705.191462
 02/26  16:00:00,15,23.52493939,22.44752777,284,284,-1316.768127,-3853.355884,57683.72936,59469.88688,55746.15101,58443.2475,3254.346482,4879.995261
 02/26  17:00:00,14.1,23.51885747,22.34750302,284,284,-1076.85113,-3618.384836,57653.09179,59426.16228,55503.54743,58197.54973,3226.395488,4846.997389
 02/26  18:00:00,13.1,23.48976089,22.23405796,14.2,14.2,-766.1393954,-3079.994176,58050.00412,58754.09621,55608.7002,57163.70363,3207.443312,4670.386758
 02/26  19:00:00,12.2,22.97192676,22.18170041,14.2,14.2,-2038.390392,-1535.191649,48426.12006,47960.94487,47387.15666,46220.48456,3077.353789,3275.651957
