Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Operative Temperature [C](Hourly),SPACE2-1:Zone Operative Temperature [C](Hourly),SPACE3-1:Zone Operative Temperature [C](Hourly),SPACE4-1:Zone Operative Temperature [C](Hourly),SPACE5-1:Zone Operative Temperature [C](Hourly),space1 power input,space2 power input,space3 power input,space4 power input,space5 power input,SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),
 04/09  12:00:00,15.15,22.95167661,24.97799005,22.98407082,22.98973682,22.53920832,1059.962971,-511.0001262,1014.574729,450.671304,2848.349717,39.11500751,2.250200903,0,511.0001262,19.81323687,4.342141535,9.478890866,2.298583566,527.4091796,0,1023.098164,0,999.1036335,443.4909967,2320.940537,
 04/09  13:00:00,15.6,23.07685223,24.34847548,23.0672348,23.08270418,22.6218205,800.1897608,-432.3274997,821.6274891,351.5717681,2439.626876,0,64.30281322,0,432.3274997,0,52.28084069,0,29.31242587,375.2968641,0,864.4925741,0,873.9083298,380.884194,2064.330012,
 04/09  14:00:00,15.6,23.1747661,23.60736347,23.11847476,23.19313875,22.6857598,621.7238787,-161.2626974,736.4802202,257.2556959,2224.98505,0,153.464018,0,286.3270639,0,94.78813966,0,76.43797206,268.0869048,0,775.1878967,125.0643665,831.2683599,333.6936679,1956.898146,
 04/09  15:00:00,15.6,23.35537467,23.40461184,23.14259605,23.59065826,22.74435989,274.269102,64.07145486,693.1763466,-97.71810344,2072.42193,0,327.1988936,0,174.7389362,0,116.4352963,0,253.9366701,191.780844,0,601.4679956,238.8103911,809.6116429,156.2185666,1880.641086,
 04/09  16:00:00,15.6,23.66119927,23.26705436,23.11232013,24.39561762,22.80066901,-340.5895121,194.3077297,750.3528558,-460.1608177,1989.472497,0,634.6617335,0,109.6748536,0,87.96062484,0,460.1608177,150.0758777,0,294.0722214,303.9825833,838.3134807,0,1839.396619,
 04/09  17:00:00,14.5375,23.82608856,23.1393061,23.03386128,25.1524856,22.83998126,-597.3800765,374.5289943,1036.010136,-609.2632553,2166.89251,0,830.7578983,0,50.38538958,8.708720975,21.65376194,0,609.2632553,115.4909165,0,233.3778218,424.9143839,1048.955177,0,2051.401594,
 04/09  18:00:00,13.525,23.65955025,22.9504341,22.86273661,25.08170063,22.83749649,-115.9432692,595.124198,1459.395292,-613.570655,2393.896134,0,654.6108359,31.75048602,1.130896575,134.3077906,0,0,613.570655,111.85136,0,538.6675667,564.5046086,1325.087501,0,2282.044774,
 04/09  19:00:00,12.6125,23.03535347,22.64731002,22.56701026,23.69991878,22.7654512,1313.579347,864.9655587,2042.979919,-1.058565302,2713.439861,79.65366397,77.31106783,139.2863361,0,368.3655671,0,0,287.9977484,166.6248651,0,1311.236751,725.6792226,1674.614352,286.9391831,2546.814996,
 04/09  20:00:00,11.8875,22.59985137,22.43895837,22.37760929,22.88825714,22.65163338,2106.569891,1103.225809,2534.190908,752.4210967,3139.590214,352.6107184,0,237.4103674,0,567.7237604,0,63.95553716,0.204967508,295.6652766,0,1753.959173,865.8154419,1966.467148,688.6705271,2843.924938,
 04/09  21:00:00,11.325,22.37979658,22.31676139,22.26473965,22.52541547,22.56380017,2635.593117,1280.911976,2891.113449,1060.424641,3548.221396,581.4897466,0,310.0409254,0,710.5649824,0,201.5081257,0,435.1416814,0,2054.10337,970.8710509,2180.548466,858.9165158,3113.079715,
