period4	week	month	day	hour	ambient	t_w	t_e	hvac_w	hvac_e
73	42	11	11	3	13.9	19.3665237479	19.2581464212	126.2622516803	137.0230877254
73	42	11	11	4	13.9	19.3354475521	19.2297427751	124.8965974116	134.886786835
73	42	11	11	5	13.3	19.2922807856	19.1896983313	126.6090598092	136.3163338129
73	42	11	11	6	13.3	19.2467068805	19.1476475025	129.8330133801	139.5679807369
73	42	11	11	7	13.3	19.2072773139	19.1121959583	129.7686056195	139.3000998607
73	42	11	11	8	13.3	19.1983908544	19.107891895	122.1246986756	130.7428422519
73	42	11	11	9	13.9	19.2561635741	19.1727118611	102.1827013159	108.3888722897
73	42	11	11	10	14.4	19.284321009	19.2074769908	93.7196832563	98.6373428478
73	42	11	11	11	14.4	19.3046660096	19.2345251232	98.2009710038	103.4110747607
73	42	11	11	12	15.6	19.4641961666	19.4044648057	75.0811774798	77.7464083003
73	42	11	11	13	15.6	19.5530002639	19.5016389278	64.9902507889	66.3853707237
73	42	11	11	14	15	19.6661852497	19.6231174249	66.9828762131	68.6155136291
73	42	11	11	15	15.6	19.648569065	19.6093415713	83.6659362653	87.8398910438
73	42	11	11	16	15	19.6309268575	19.5937539641	104.0366474466	111.1962641094
73	42	11	11	17	14.4	19.5137027496	19.47445932	133.8406709064	145.1281868288
73	42	11	11	18	14.4	19.4585286943	19.4165535282	145.4869978265	159.1290850358
73	42	11	11	19	13.9	19.3654492618	19.3183272773	146.4201674608	161.1057618669
73	42	11	11	20	13.3	19.2996123379	19.2483443906	144.312314129	159.0379058324
73	42	11	11	21	13.3	19.1989857038	19.1435599916	148.5709594946	163.594189503
73	42	11	11	22	12	19.1005449495	19.0420245603	154.2471002187	169.4992523446
73	42	11	11	23	13	19.0804976521	19.0215880531	138.6397242273	151.7232725961
73	42	11	11	24	12	18.9361704685	18.874929484	148.082785308	161.7593316799
73	42	11	12	1	12	18.9100935111	18.8500158025	145.2529982059	158.242555194
73	42	11	12	2	13	18.8977955347	18.8397577715	125.4826660314	136.0259829477
73	42	11	12	3	12	18.8309587975	18.7745436541	126.723150891	136.8457431073
73	42	11	12	4	13.3	18.819710652	18.7664131729	126.6826940183	136.5780143336
73	42	11	12	5	13.9	18.8168997053	18.7670166773	117.1627518835	125.9167696824
73	42	11	12	6	13.9	18.7888566184	18.7424111494	116.728513035	125.2651787128
73	42	11	12	7	13.9	18.7384312604	18.6948853269	126.5772505151	136.0627355809
73	42	11	12	8	13.9	18.7717294892	18.7328947535	115.4618427971	123.733360043
73	42	11	12	9	14.4	19.0160789023	18.9892619944	57.323877051	58.7635300944
73	42	11	12	10	15	19.2554650532	19.2483131492	24.4367371642	19.5039401754
73	42	11	12	11	14.4	19.6117046611	19.6390860636	-3.8606293209	-16.9043878155
73	42	11	12	12	15.6	19.7431351385	19.8085527122	5.9073650311	-10.7882379328
73	42	11	12	13	16.7	19.8602589038	19.9683182648	36.3554901958	19.5299599275
73	42	11	12	14	16.7	19.9720167444	20.1188707646	55.4651470731	40.553332371
73	42	11	12	15	15.6	19.8492492029	20.0177604195	91.0338787469	69.5034224705
73	42	11	12	16	14.4	19.816943619	19.9945641252	121.164493612	103.7175061366
73	42	11	12	17	13.9	19.7570194055	19.9353373338	129.7321731585	123.2941338853
73	42	11	12	18	13.9	19.7346456535	19.9090899719	126.408258638	131.0710861563
73	42	11	12	19	13.9	19.6788879105	19.8459856277	128.5887774599	140.2463398945
73	42	11	12	20	13.9	19.6676789907	19.8283265628	125.1808317488	139.5912129909
73	42	11	12	21	14.4	19.6380061403	19.7913902429	122.1314453428	136.2942449178
73	42	11	12	22	13.9	19.6033828025	19.7495423726	124.5135101884	138.9530073769
73	42	11	12	23	13.9	19.5389211247	19.6771768821	132.9590855933	148.4151775433
73	42	11	12	24	13.9	19.506963678	19.638401819	132.3977147735	147.8638456329
74	42	11	13	1	13.9	19.4681053297	19.592647081	128.2379945635	143.0332007993
74	42	11	13	2	13.3	19.4265042745	19.5444824524	128.1023664965	142.7270509763
74	42	11	13	3	13.3	19.3555590573	19.4665419517	135.2708620399	150.546697222
74	42	11	13	4	12.8	19.2605444682	19.3641718757	146.209280009	162.5179759773
74	42	11	13	5	12.2	19.036377955	19.1302023999	180.0197634804	200.1967699983
74	42	11	13	6	11.7	18.8861595455	18.9714130825	192.4760901748	214.4050415081
74	42	11	13	7	11.1	18.8045506523	18.8832313198	167.1686393799	185.9047917599
74	42	11	13	8	12.8	18.8892597267	18.9663584737	112.9065985275	125.147794538
74	42	11	13	9	14.4	18.9606012662	19.0389081721	80.7892008312	87.9290786521
74	42	11	13	10	15.6	19.2817853406	19.3717083746	29.1273091389	29.0198102557
74	42	11	13	11	16.7	19.5835095024	19.6907148598	1.3310576249	-4.4216201011
74	42	11	13	12	17.2	20.0262147788	20.158805849	8.7193408743	2.4901425056
74	42	11	13	13	16.7	20.3840724885	20.5487295046	-7.2530591183	-1.6424545331
74	42	11	13	14	16.7	20.7927833987	20.9901944669	0	0
74	42	11	13	15	18.9	20.88646454	21.0987788135	0	0
74	42	11	13	16	19.4	20.7927545267	20.9960594739	0	0
74	42	11	13	17	15.6	20.5542757247	20.7215689662	41.8199077239	26.7941880215
74	42	11	13	18	15	20.4631464674	20.5860080804	84.8753599194	85.0181766074
74	42	11	13	19	14.4	20.3879832146	20.4610527419	94.0469137353	104.5809914996
74	42	11	13	20	14.4	20.3612874264	20.3900775673	84.9261614477	101.3581712774
74	42	11	13	21	13.3	20.2533279066	20.2428575542	95.3062979089	117.1276450913
74	42	11	13	22	13.3	20.0860507792	20.043583364	133.2958179108	161.2343365811
74	42	11	13	23	12.8	20.0482229452	19.9840942535	142.1488943246	171.5483360745
74	42	11	13	24	11.7	19.8355609922	19.7504910271	160.8720097797	192.3586037355
74	42	11	14	1	11.7	19.6991545847	19.6015238928	192.0372125239	216.4126064837
74	42	11	14	2	11.7	19.5577481729	19.4514111309	181.1404530411	203.3022572515
74	42	11	14	3	10.6	19.4024221703	19.2897738892	178.2297267517	197.956505997
74	42	11	14	4	11.1	19.3805207143	19.2662442432	151.6283598867	167.0152561507
74	42	11	14	5	9.4	19.2491746224	19.1329631026	149.001325594	163.2507147156
74	42	11	14	6	10.6	19.1413127547	19.0254436104	160.9796679015	175.5269131834
74	42	11	14	7	10	19.0461406267	18.9318614811	159.4499687996	173.1225618528
74	42	11	14	8	11.7	19.1144096576	19.0062254189	118.4462658244	127.3824560876
74	42	11	14	9	13.3	19.4609465655	19.3679711647	29.3667599685	27.0421670733
74	42	11	14	10	15	19.7408518794	19.6744726736	-4.3857125037	-13.6412649014
74	42	11	14	11	15	20.1830486441	20.1559339754	13.0025320301	4.3666995304
74	42	11	14	12	15	20.465106819	20.485007692	0	-2.8297729987
74	42	11	14	13	16.1	20.8724382729	20.9413896889	0	0
74	42	11	14	14	17.2	21.1554041177	21.2655995685	0	0
74	42	11	14	15	17.2	21.1784111831	21.310560448	0	0
74	42	11	14	16	16.7	21.0804991323	21.2148594406	0	0
74	42	11	14	17	16.1	20.8139232511	20.9304228404	20.7157213909	7.0553614305
74	42	11	14	18	15.6	20.7038380492	20.7966847355	62.3070134716	58.9966431713
74	42	11	14	19	15	20.5879707755	20.6563100247	76.4452188504	79.3573777568
74	42	11	14	20	15	20.5120437753	20.5581029414	77.5679708032	84.1575088116
74	42	11	14	21	14.4	20.3643419095	20.3894014179	95.1146666596	106.1056009491
74	42	11	14	22	13.9	20.2478842991	20.2559514084	118.2236442524	133.0848543031
74	42	11	14	23	14.4	20.2463047089	20.2440552255	107.8527731582	122.2190812426
74	42	11	14	24	13.9	20.0816346941	20.0679448282	116.2096101321	131.6409088091
74	43	11	15	1	12.8	19.9614973869	19.9402004266	147.9169047842	166.8378066851
74	43	11	15	2	12.2	19.8181699023	19.7897436211	169.7511235405	191.1542763246
74	43	11	15	3	12.2	19.6992030522	19.6655426024	175.0935341773	193.2194468859
74	43	11	15	4	11.7	19.5816677856	19.5443023262	166.8074767272	183.7251340078
74	43	11	15	5	11.7	19.4654857939	19.4255774564	164.7579944623	180.812254197
74	43	11	15	6	11.7	19.3652866761	19.3239813392	160.696329298	175.834220349
74	43	11	15	7	11.7	19.2913465918	19.2499330276	151.2591245305	164.9717351009
74	43	11	15	8	12.8	19.3292208869	19.2909133254	120.8531873624	130.8694544497
74	43	11	15	9	13.9	19.5691042248	19.5400824871	56.891100312	59.4435648129
74	43	11	15	10	14.4	19.8330682763	19.8162312967	23.6956679381	21.1343092321
74	43	11	15	11	15	20.1177873557	20.1170114038	0.9663853236	-5.1157362455
74	43	11	15	12	15	20.427973915	20.4447325706	0	0
74	43	11	15	13	15.6	20.5511879786	20.5816639729	0	0
74	43	11	15	14	15.6	20.901912414	20.9512708655	0	0
74	43	11	15	15	15.6	20.7405423784	20.7917642122	0	0
74	43	11	15	16	15.6	20.7238343547	20.7725287803	15.8844276319	9.3674321336
74	43	11	15	17	15.6	20.4927994652	20.5240389558	51.014225375	51.8484371926
74	43	11	15	18	15	20.2842957513	20.2928233399	112.6632087638	125.0502963316
74	43	11	15	19	15	20.2431626931	20.228000447	128.4645640503	147.4669433471
